RES_ID,RESPONSE,LABEL
TRA1,"Tujuan penjelajahan samudra adalah mencari berbagai kekayaan alam ke daerah yang belum dieksplor sama sekali, hal itu berhubungan dengan prinsip ekonomi merkantilisme. Paham tersebut menyebabkan terbentuknya kolonialisme dan imperialisme",0
TRA2,adanya kesamaan perekonomian suatu untuk membangun negaranya agar sejahtera dan bangsa Eropa melakukan pelayaran menjelajahi bangsa yang kurang memadai setelah itu mereka melakukan penjajahan terhadap bangsa yang mereka jelajahi.,1
TRA3,Hubungannya adalah karena merkantilisme di kalang bangsa Eropa yang menitikberatkan bahwa suatu negara yang maju adalah memiliki aset negara yang maju dan berkembang,0
TRA4,Karena adanya merkantilisme ini banyak negara yang melakukan penjelajahan agar membuat negaranya memiliki banyak keuntungan dari negara lain misalnya mendapatkan rempah untuk kekayaan dan lainnya. Dari hal tersebutlah bangsa-bangsa yang melakukan pelayaran akhirnya menjajah sebuah bangsa untuk menguasai apa yang menguntungkan dari negara atau daerah tersebut,1
TRA5,"Hubungan antara ekonomi merkantilisme dengan penjelajahan Samudera dan kolonialisme-imperialisme bangsa Barat di Asia maupun Afrika yaitu merkantilisme dijadikan salah satu pendorong untuk melakukan eksploitasi, dan kolonialisasi di berbagai belahan dunia agar negaranya sejahtera karena memiliki aset dan modal yang melimpah.",1
TRA6,"Hubungan merkantilisme dan penjelajahan samudra ialah kalangan Bangsa Eropa menitik beratkan bahwa suatu negara itu sejahtera atau makmur memiliki aset dari negara maju dan berkembang. Negara - negara di Eropa pada masa itu saling bersaing untuk mendapatkan aset tersebut. Maka dari itu penjelajahan Samudra atau ekspedisi laut adalah cara agar tidak kalah saing dalam mendapatkan aset atau modal. Sedangkan hubungannya merkantilisme dengan kolonialisme-imperialisme bangs Barat di Asia maupun di Afrika ialah imperialisme dan kolonialisme merupakan sebuah fase dimana Bangsa Barat khususnya Bangsa Eropa mendominasi Asia sampai Afrika. Hal tersebut dilakukan oleh mereka dengan membawa semangat 3G yaitu Gold,Glory,dan Gospel dimana hal tersebut sepenuhnya berhasil dilakukan.Tidak hanya itu,mereka juga berhasil mengeksploitasi kekayaan alam yang ada di negara-negara yang mereka jajah sehingga merkantilisme tersebut terjadi pada negara di Bangs Eropa yang berhasil mendapatkan aset atau modal dari negara yang mereka jajah baik negara berkembang maupun negara maju.",1
TRA7,"Hubungan antara ekonomi merkantilisme dengan penjelajahan Samudera dan kolonialisme-imperialisme bangsa Barat di Asia maupun di Afrika adalah sebgai berikut. Terdapat hubungannya yairu dengan adanya ekonomi Merkantilisme membuat negara bangsa Barat atau penjelajah samudera ini memiliki ambisu untuk merebut habis setiap kekayaan yang di Asia ataupun di Afrika, sehingga muncullah kolonialisme-imperialisme. Bangsa Barat melakukan merkantilisme untuk memperoleh keuntungan yang besar.",1
TRA8,"karena negara-negara imperialis banyak menggunakan aliran merkantilisme untuk memperbanyak aset, mereka akhirnya melakukan penjelajahan samudera untuk melakukan perdagangan/mencari barang untuk diperdagangkan sehingga mereka menjajah benua-benua yang mereka singgahi untuk mencari keuntungan agar menaikan aset atau modal negara tsb.",1
TRA9,"Merkantilisme itu sendiri karena merkantilisme mengartikan bahwa suatu negara yang maju adalah negara yang memiliki aset yang maju dan berkembang, dan mampu bersaing dengan negara-negara lain. Dalam hal ini persaingan yang mereka lakukan adalah dengan melakukan ekspedisi laut serta melakukan ekspansi ke negara lain untuk menambah cadangan moneter. Paham itulah yang menyebabkan munculnya kolonialisme dan imperialisme oleh bangsa Eropa.",1
TRA10,"Eropa menganut sistem ekonomi merkantilisme (Motif penjelajahan ini yaitu: 3G Gold, Glory, Gospel), hal ini membuat standar kekayaan negara pada saat itu adalah emas. Merkantilisme mengajarkan bahwa pemerintahan suatu negara harus mencapai neraca perdagangan positif dengan melakukan perlindungan terhadap perekonomiannya, dengan mendorong ekspor dan mengurangi impor (biasanya dengan pemberlakuan tarif yang besar). Kebutuhan akan pasar yang diajarkan oleh teori merkantilisme akhirnya mendorong terjadinya banyak peperangan di kalangan negara Eropa dan juga menandai dimulainya era kolonialisme dan imperialisme Eropa.",1
TRA11,"Bangsa Eropa mulai melakukan penjelajahan samudra di masa renaissans. Penjelajahan samudra yang dilakukan oleh bangsa Eropa merupakan peristiwa sejarah yang sangat penting bila dilihat dari dampaknya bagi dunia modern. Selama sekitar dua abad 1420- 1620 dorongan untuk menemukan daerah baru di luar Eropa telah menyebabkan peningkatan yang luar biasa dalam bidang ilmu pengetahuan tentang bumi dan manusia- manusia yang mendiaminya. Penemuan-penemuan wilayah baru yang diikuti oleh kolonisasi, peperangan, perjanjian dagang, dan persaingan telah menyebabkan munculnya negara-negara Eropa yang menguasai wilayah yang lusa di seberang samudra.Negara-negara di eropa yang tadinya hanya negara biasa, sekarang mulai muncul sebagai negara-negara adidaya di dunia. Negara-negara Eropa yang menjadi besar pada era penjelajahan Samudra antara lain adalah; Portugis, Spanyol, Belanda, dan Inggris. Sampai seribu tahun lebih sejak awal abad masehi, bangsa-bangsa Eropa tidak pernah meluaskan pengaruhnya ke luar dari benua mereka. Sebelas tahun kemudian, armada Portugis lainnya di bawah pimpinan Vasco da Gama berlayar hingga ke Kalikut di sebelah barat pantai India. Kerajaan Portugis mensponsori pelayaran da Gama dengan tujuan menghancurkan monopoli Islam terhadap perdagangan rempah- rempah. Kalikut adalah salah satu emporium dalam jalur perdagangan rempah-rempah di Samudra hindia, tetapi saat itu Portugis mengira Kalikut adalah daerah penghasil utama rempah-rempah. Meski kehilangan dua kapal, armada da Gama berhasil kembali ke Eropa dengan membawa keuntungan lebih dari seribu persen dari modal yang ditanam. Tokoh penting yang menjadi pelopor ekspedisi laut Spanyol ke luar benua Eropa adalah seorang Itali yang berasal dari Genoa, Untuk menghindari terjadinya konflik terbuka antara dua negara Eropa yang mempelopori penjelajahan Samudra, yaitu Portugis dan Spanyol, maka pada tahun 1494 diadakan perjanjian Tordesillas. Dalam melakukan perdagangan luar negeri di abad 17 dan 18 Inggris menerapkan suatu sistem ekonomi yang dikenal dengan nama merkatilisme atau yang disebut juga dengan komersialisme. Merkantilisme adalah sistem ekonomi dimana suatu negara berusaha mengumpulkan kekayaan dengan cara melakukan perdagangan dengan negara- negara lain, mengekspor lebih banyak dari impor dengan tujuan untuk meningkatkan cadangan emas dan logam mulia lainnya. Kata merkatlisme berasal dari kata latin mercans yang artinya adalah “pembeli”. Sistem ini mendorong negara untuk meninggalkan kegiatan pertanian dan menggantikannya dengan kegiatan perdagangan dalam rangka mendapatkan keuntungan yang lebih besar. Meskipun saat ini sistem merkatilisme tidak lagi populer, tetapi sistem ini merupakan salah satu sistem ekonomi utama ayng berlaku di abad 17 dan 18. Sistem merkantilisme adalah salah satu faktor pendorong bagi berbagai aktifitas eksplorasi dan kolonisasi yang dilakukan negara-negara Eropa pada periode modern awal. (Peter Nathaniel XIIB 13)",1
TRA12,merkantilisme artinya negara maju yang memiliki aset yang maju dan dapat bersaing dengan negara lainnya. mereka melakukan ekspedisi laut dan ekspansi ke negara lain untuk menambah cadangan moneter. dengan begini kolonialisme dan inperialisme muncul oleh bangsa eropa,1
TRA13,"Hubunganya antara ekonomi merkantilisme dengan penjelajahan Samudera dan kolonialisme-imperialisme bangsa Barat di Asia maupun di Afrika yaitu Merkantilisme adalah suatu kekayaan yang dimiliki negara dari aset dan modal untuk kesejahteraan negara, lalu hubungan nya dengan kolonialisme-imperialisme yaitu karena adanya ekonomi merkantilisme negara, sehingga negara harus menambah kekayaan nya dengan melakukan penjajahan. Dan kolonialisme - imperialisme ini berhubngan dengan penjajahan tersebut. Apalagi jika diketahui wilayah Asia dan wilayah Afrika memiliki kekayaan SDA yang cukup melimpah.",1
TRA14,"ekonomi merkantilisme seperti memberikan paham bawah negara bisa dikatakan maju / kesejaheteraan syatu negara ditentukan dengan banyaknya aset dan modal. merkantilisme juga merupakan sistem ekonomi yang bertujuan agar melakukan ekspor untuk mendapatkan emas. selain itu, merkantilisme juga mendorong bangsa eropa agar melakukan ekploitas dan kolonialisasi ke bangsa Asia dan Afrika. mereka melakuakn penjelajahan Samudera untuk mencari sumber rempah-rempah dan berdagang. mereka berupaya mendapatkan rempah-rempah dengan sangat banyak dan memonopoli perdagangan agar dikatakan sebagai suatu negara dengan kesejahteraan yang tinggi.",0
TRA15,Hubungan antara ekonomi merkantilisme dengan penajajahan samudera dan kolonialisme-imperialisme bangsa barat di asia maupun di afrika adalah keduanya di dorong oleh merkantilisme. kolonialisme-imperialisme bangsa barat terjadi kaerena kebijakan ekonomi markantilisme yang melakukan ekspansi ke negara-negara lain,1
TRA16,"Hubungannya bisa diliat dari arti Merkantilisme itu sendiri karena merkantilisme mengartikan bahwa suatu negara yang maju adalah negara yang memiliki aset yang maju dan berkembang, dan mampu bersaing dengan negara-negara lain. Dalam hal ini persaingan yang mereka lakukan adalah dengan melakukan ekspedisi laut serta melakukan ekspansi ke negara lain untuk menambah cadangan moneter. Paham itulah yang menyebabkan munculnya kolonialisme dan imperialisme oleh bangsa Eropa.",1
TRA17,Hubungannya antara ekonomi merkantilisme dengan penjelajahan Samudra dan kolonialisme-imperialisme bangsa Barat di Asia maupun di Afrika adalah merkantilisme termasuk kebijakan ekonomi nasional yang bertujuan untuk mengumpulkan cadangan moneter melalui keseimbangan sebuah perdagangan yang positif terutama barang jadi dan kebijakakan ini sering menyebabkan perang dan ekspansi kolonial-imperialis,1
TRA18,"penjelajahan samudera telah memunculkan kekayaan, cara berpikir yang baru dan juga kesempatan. dan salah sattu hasil yang paling nyata dari jaman tersebut ada pada Negara Amerika Serikat, Australia dan Brazil. Asia dan Afrika dapat mencapai benua tersebut.",0
TRA19,Merkantilisme mengartikan bahwa suatu negara yang maju adalah negara yang memiliki aset yang maju dan berkembang serta mampu bersaing dengan negara-negara lain. Dalam hal ini persaingan yang mereka lakukan adalah dengan melakukan ekspedisi laut serta melakukan ekspansi ke negara lain untuk menambah cadangan moneter. Paham tersebut menyebabkan munculnya kolonialisme dan imperialisme oleh bangsa Eropa.,1
TRA20,"Hubungan nya antara ekonomi merkantilisme dengan penjelajahan Samudra dan kolonialisme-imperialisme bangsa Barat di Asia maupun di Afrika adalah • Merkantilisme memiliki arti, suatu negara yang maju adalah negara yang memiliki aset yang maju dan berkembang, dan mmpu bersaing dengan negara-negara lain • Dalam hal ini, persaingan yang dilakukan oleh mereka dengan cara melakukan kegiatan ekspedisi laut dan melakukan ekspansi ke negara lain untuk menambah cadangan moneter • Paham inilah yang menyebabkan munculnya kolonialisme dan imperialisme oleh bangsa Eropa",1
